llm_model,temperature,system_prompt,user_prompt,score
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 0,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 1,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 2,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 3,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 4,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 5,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 6,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 7,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 8,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 9,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 10,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 11,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 12,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 13,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 14,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 15,2
openai/gpt-4,0,sparksofagi.txt,create_calendar_event.text - 16,2
