llm_model,temperature,system_prompt,user_prompt,score
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 0,3
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 1,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 2,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 3,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 4,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 5,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 6,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 7,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 8,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 9,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 10,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 11,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 12,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 13,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 14,3
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 15,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 16,2
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 17,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 18,1
upstage/Llama-2-70b-instruct-v2,0,aigenerated_5.txt,CONVERT_TEXT_TO_SPEECH.txt - 19,1
