APIs,TN,FN,FP,TP,Precision,Recall,F1 Score
CONVERT_TEXT_TO_SPEECH,1.0,15.0,0.0,44.0,1.0,0.75,0.85
CREATE_CALENDAR_EVENT,0.0,0.0,49.0,11.0,0.18,1.0,0.31
CREATE_REMINDER,0.0,11.0,5.0,44.0,0.9,0.8,0.85
GENERATE_IMAGE,0.0,39.0,0.0,21.0,1.0,0.35,0.52
GET_CALENDAR_EVENTS,0.0,33.0,8.0,19.0,0.7,0.37,0.48
GET_CURRENT_DATE_AND_TIME,0.0,0.0,1.0,59.0,0.98,1.0,0.99
GET_CURRENT_STOCK_PRICE,0.0,3.0,2.0,55.0,0.96,0.95,0.96
GET_NEWS,0.0,3.0,38.0,19.0,0.33,0.86,0.48
GET_WEATHER,0.0,3.0,0.0,57.0,1.0,0.95,0.97
NOT_AVAILABLE,327.0,0.0,29.0,4.0,0.12,1.0,0.22
SEND_EMAIL,0.0,17.0,4.0,39.0,0.91,0.7,0.79
Cumulative,328.0,124.0,136.0,372.0,0.73,0.75,0.74
